Total_Pop_2009,Total_Pop_2014,Total_Pop_2019,Total_Pop_2024,GEOID
45612.0,45718.0,45229.0,46797.0,55005
66458.0,70873.0,78991.0,89886.0,13013
58815.0,59107.0,60540.0,63409.0,26015
35905.0,35681.0,35530.0,35033.0,29009
74681.0,78628.0,82481.0,83536.0,18005
27654.0,27566.0,26453.0,25097.0,20009
12695.0,12286.0,11797.0,11690.0,29011
92490.0,100771.0,104919.0,113113.0,13015
71928.0,75708.0,84522.0,106582.0,48021
16906.0,16780.0,16296.0,16186.0,29013
11597.0,11870.0,12355.0,12851.0,21011
4636.0,4644.0,4307.0,4100.0,51017
41468.0,41154.0,41427.0,42407.0,05005
163451.0,172988.0,182161.0,186393.0,12005
107778.0,107074.0,104104.0,103008.0,26017
14938.0,15064.0,14993.0,16575.0,55007
3789.0,3648.0,3577.0,3485.0,48023
15845.0,17922.0,18346.0,19309.0,46005
5859.0,5941.0,6000.0,6650.0,16007
45993.0,47587.0,47168.0,44499.0,37013
147799.0,168453.0,186095.0,195289.0,45013
34828.0,36109.0,37043.0,36676.0,22011
5311.0,5581.0,5377.0,5028.0,40007
173277.0,170124.0,165833.0,166324.0,42007
6139.0,6514.0,6517.0,7273.0,49001
8887.0,9294.0,9415.0,9713.0,30001
31832.0,32971.0,34011.0,35343.0,27005
20268.0,22941.0,22268.0,22148.0,40009
49648.0,49332.0,48337.0,47513.0,42009
44291.0,45660.0,48292.0,52237.0,47003
65916.0,75607.0,78376.0,80894.0,51019
6291.0,,,,51515
32413.0,32462.0,32611.0,31083.0,48025
61102.0,60252.0,60887.0,64659.0,33001
29093.0,28234.0,26791.0,23509.0,21013
275594.0,321591.0,348574.0,386897.0,48027
68372.0,69793.0,68024.0,65473.0,39013
43407.0,45236.0,46403.0,46512.0,27007
17535.0,17547.0,17033.0,17089.0,13017
9246.0,9149.0,9138.0,10142.0,16009
3408.0,3440.0,3425.0,3345.0,46007
36466.0,36739.0,35746.0,37269.0,50003
6889.0,6764.0,6873.0,5808.0,38005
6128.0,6000.0,5787.0,5549.0,08011
209931.0,232611.0,265759.0,303632.0,05007
8723.0,8810.0,8677.0,8735.0,18007
26628.0,25895.0,25636.0,25724.0,19011
39460.0,38980.0,40129.0,41593.0,27009
7978.0,8573.0,8232.0,7589.0,28009
18458.0,18961.0,19107.0,20151.0,29015
81107.0,86034.0,91107.0,96303.0,41003
16130.0,16345.0,16140.0,16006.0,47005
161077.0,182053.0,197518.0,212905.0,53005
17440.0,17450.0,17615.0,18310.0,26019
888546.0,920456.0,930390.0,962316.0,34003
163328.0,188835.0,215044.0,246802.0,45015
99058.0,107324.0,115329.0,129514.0,54003
401488.0,413016.0,418025.0,433015.0,42011
130168.0,130064.0,126425.0,129430.0,25003
626822.0,671429.0,677858.0,673930.0,35001
16814.0,19091.0,19152.0,18352.0,13019
160129.0,155992.0,154133.0,153288.0,26021
19187.0,20677.0,19380.0,17170.0,37015
17151.0,17576.0,18134.0,18394.0,02050
1584817.0,1789088.0,1952843.0,2067341.0,48029
21464.0,22653.0,22493.0,22130.0,01007
155034.0,155237.0,153200.0,156578.0,13021
14848.0,14122.0,13564.0,12638.0,22013
12809.0,13079.0,13387.0,12891.0,30003
11372.0,11827.0,11882.0,11828.0,56003
5335.0,5180.0,4996.0,5127.0,27011
912.0,855.0,922.0,1024.0,38007
43635.0,45558.0,45839.0,49664.0,16011
127369.0,131947.0,132393.0,131049.0,19013
13254.0,12576.0,12013.0,11950.0,18009
32412.0,34915.0,33407.0,29566.0,37017
21775.0,21269.0,22373.0,24951.0,16013
6515.0,6576.0,6719.0,6949.0,30005
471.0,594.0,477.0,422.0,31009
12625.0,9832.0,9556.0,8570.0,40011
125984.0,126708.0,123157.0,121277.0,42013
9037.0,10625.0,11478.0,12446.0,48031
6792.0,6727.0,6388.0,6199.0,51021
12584.0,12912.0,12807.0,12430.0,13023
12941.0,13240.0,14836.0,15032.0,47007
56804.0,57645.0,57681.0,59518.0,01009
119489.0,124435.0,129927.0,139333.0,47009
59883.0,64720.0,66795.0,69871.0,27013
7467.0,6880.0,7378.0,8273.0,16015
37266.0,33961.0,31848.0,29534.0,28011
12037.0,12394.0,12225.0,10559.0,29017
7023.0,7032.0,6929.0,7044.0,46009
18173.0,17571.0,16589.0,16716.0,17005
40878.0,40899.0,43611.0,51049.0,16017
96238.0,106703.0,114392.0,129523.0,16019
36341.0,37169.0,37331.0,38138.0,05009
52400.0,54005.0,53537.0,53230.0,17007
53931.0,59246.0,65544.0,74718.0,18011
26222.0,26326.0,26370.0,26668.0,19015
112514.0,123030.0,130820.0,139841.0,21015
151836.0,168268.0,177651.0,188043.0,29019
5531.0,5404.0,5279.0,5356.0,31011
25000.0,24257.0,22368.0,21026.0,54005
585.0,676.0,613.0,713.0,48033
17720.0,18052.0,18296.0,18687.0,48035
108722.0,121918.0,126499.0,129789.0,22015
32231.0,33105.0,33343.0,34004.0,51023
6427.0,6579.0,6502.0,6378.0,38009
295524.0,305166.0,322510.0,328961.0,08013
10748.0,10903.0,11845.0,13172.0,16021
14846.0,14913.0,14608.0,14394.0,20011
19668.0,19972.0,20058.0,20240.0,21017
91841.0,93068.0,93373.0,92115.0,48037
2944.0,3192.0,3148.0,2906.0,38011
11031.0,11308.0,10970.0,10714.0,31013
47897.0,50613.0,53946.0,61246.0,49003
48669.0,49242.0,47682.0,47911.0,21019
2120.0,2067.0,1937.0,1688.0,31015
28914.0,29150.0,29972.0,30941.0,21021
8618.0,8459.0,8305.0,8444.0,21023
28841.0,27552.0,27317.0,27885.0,12007
61375.0,62510.0,60963.0,59858.0,42015
11967.0,11316.0,10874.0,10208.0,05011
95184.0,101004.0,105749.0,111065.0,47011
45890.0,43965.0,43513.0,45300.0,26023
15442.0,18463.0,18756.0,18315.0,13025
14554.0,14492.0,14190.0,12208.0,54007
292304.0,325477.0,360677.0,391255.0,48039
171382.0,201534.0,222981.0,242311.0,48041
15641.0,13663.0,12977.0,13276.0,21025
19057.0,20076.0,20176.0,20881.0,21027
23505.0,24481.0,24864.0,25204.0,19017
532697.0,548891.0,585507.0,632780.0,12009
9216.0,9270.0,9231.0,9503.0,48043
1583.0,1601.0,1457.0,1301.0,48045
682.0,995.0,875.0,918.0,02060
545210.0,551065.0,561037.0,582270.0,25005
50022.0,49338.0,48764.0,50490.0,44001
17526.0,17595.0,16912.0,16849.0,51520
4602.0,5697.0,5945.0,7668.0,30007
1381529.0,1413566.0,1435068.0,1404779.0,36005
23801.0,23787.0,22459.0,21805.0,54009
29437.0,32647.0,34601.0,35353.0,46011
16324.0,15766.0,15590.0,16293.0,13027
7475.0,7200.0,7141.0,6943.0,48047
195209.0,198797.0,193188.0,197378.0,36007
52882.0,59027.0,67886.0,76304.0,08014
1759132.0,1815269.0,1926205.0,1977129.0,12011
6593.0,6878.0,6628.0,6322.0,17009
14724.0,15074.0,15064.0,15606.0,18013
10028.0,9926.0,9626.0,9343.0,20013
25881.0,25513.0,25163.0,25800.0,27015
3178.0,3090.0,3015.0,2869.0,31017
43823.0,44464.0,43572.0,43845.0,39015
35016.0,37528.0,38915.0,37877.0,46013
38225.0,37903.0,37855.0,38347.0,48049
242881.0,252698.0,261368.0,270892.0,55009
5169.0,5311.0,5258.0,5283.0,46015
98712.0,112907.0,131815.0,152568.0,37019
17786.0,16961.0,16520.0,15841.0,51025
30109.0,32185.0,37063.0,48263.0,13029
39467.0,43595.0,46457.0,48253.0,40013
20911.0,20947.0,21118.0,20694.0,19019
88476.0,89536.0,88460.0,83568.0,29021
23584.0,23683.0,21788.0,19415.0,51027
15932.0,17072.0,17059.0,16976.0,51029
621241.0,626205.0,626806.0,647461.0,42017
19573.0,20460.0,20058.0,20753.0,19021
6285.0,6683.0,6484.0,6593.0,51530
44877.0,47388.0,49209.0,50579.0,31019
2091.0,2013.0,2026.0,1808.0,46017
13683.0,13374.0,13126.0,13393.0,55011
73528.0,76093.0,80171.0,84027.0,21029
66366.0,71940.0,76120.0,82683.0,13031
10917.0,10693.0,10248.0,10058.0,01011
225869.0,244599.0,256886.0,274360.0,37021
34795.0,34361.0,33122.0,32866.0,17011
22807.0,23136.0,22520.0,24470.0,13033
88987.0,90164.0,89968.0,87795.0,37023
2027.0,2145.0,2182.0,2156.0,38013
77049.0,86111.0,94793.0,100600.0,38015
16634.0,17236.0,18058.0,18857.0,48051
446301.0,450155.0,445702.0,467805.0,34005
43402.0,43911.0,46530.0,52652.0,48053
16111.0,15387.0,15289.0,16916.0,55013
7047.0,6690.0,6510.0,6740.0,31021
20189.0,20523.0,19828.0,18630.0,01013
14581.0,14966.0,14628.0,14268.0,19023
62878.0,65927.0,66698.0,68287.0,20015
13337.0,12797.0,12764.0,12393.0,21031
41293.0,42957.0,42656.0,42020.0,29023
8416.0,8312.0,8029.0,8424.0,31023
356878.0,371154.0,380019.0,392876.0,39017
182519.0,185034.0,186899.0,197254.0,42019
217917.0,221578.0,225817.0,207929.0,06007
2769.0,2734.0,2581.0,2684.0,16023
9418.0,10259.0,10225.0,10676.0,46019
23596.0,23469.0,24090.0,26496.0,13035
161473.0,184855.0,206615.0,236133.0,37025
94552.0,96826.0,94339.0,92739.0,54011
109347.0,115954.0,124165.0,140046.0,49005
29505.0,29551.0,29242.0,26447.0,40015
252467.0,255529.0,245831.0,230004.0,22017
46548.0,44921.0,45514.0,46248.0,06009
185017.0,194943.0,201619.0,207088.0,22019
12822.0,12880.0,12702.0,12618.0,21033
9192.0,9176.0,9039.0,8927.0,29025
79382.0,82140.0,81884.0,80536.0,37027
36895.0,38870.0,42144.0,48669.0,48055
10400.0,10008.0,9992.0,9500.0,22021
30356.0,31109.0,30234.0,30475.0,50005
112969.0,117186.0,114618.0,116090.0,01015
5411.0,5266.0,5192.0,4704.0,05013
13525.0,14657.0,14362.0,13492.0,12013
6113.0,6549.0,6365.0,5498.0,13037
5076.0,5033.0,4830.0,4330.0,17013
9964.0,9980.0,9744.0,9803.0,19025
136875.0,135150.0,134212.0,133778.0,26025
14533.0,14841.0,14499.0,12922.0,28013
14746.0,15031.0,14663.0,14182.0,45017
20384.0,21569.0,21668.0,19868.0,48057
7209.0,7583.0,7295.0,6048.0,54013
13300.0,13519.0,13856.0,14241.0,48059
43192.0,44483.0,44889.0,44741.0,29027
36036.0,37981.0,38837.0,38224.0,21035
44407.0,49502.0,49928.0,52942.0,55015
88055.0,89793.0,91511.0,94313.0,24009
1040.0,1156.0,1048.0,1124.0,16025
145219.0,140835.0,133009.0,131538.0,42021
47003.0,51193.0,53231.0,56970.0,13039
40150.0,43873.0,45466.0,43667.0,29029
516937.0,512632.0,506738.0,527257.0,34007
9375.0,10127.0,10551.0,10927.0,37029
5334.0,4939.0,4611.0,4427.0,42023
383171.0,415103.0,421666.0,426120.0,48061
7588.0,6713.0,6930.0,5015.0,22023
12489.0,12463.0,12878.0,12798.0,48063
87509.0,91268.0,92861.0,93426.0,21037
1450.0,1440.0,1485.0,1593.0,46021
40646.0,40361.0,39797.0,39761.0,47013
52542.0,54833.0,55225.0,55312.0,51031
40290.0,47448.0,47409.0,47240.0,56005
103588.0,122832.0,140455.0,168985.0,40017
10380.0,11056.0,10812.0,11043.0,13043
13505.0,13786.0,14178.0,14818.0,47015
176820.0,195353.0,217633.0,250790.0,16027
72621.0,77031.0,78491.0,82735.0,29031
97127.0,96286.0,93086.0,94941.0,34009
,,,977290.0,09110
9741.0,10189.0,10597.0,11116.0,30009
62856.0,64874.0,63887.0,65382.0,42025
19536.0,21118.0,20308.0,20517.0,49007
15347.0,15795.0,15247.0,14463.0,56007
6888.0,6857.0,6953.0,7162.0,16029
5205.0,5031.0,4784.0,4762.0,21039
33875.0,35430.0,35633.0,36518.0,27017
32727.0,32759.0,33049.0,33669.0,24011
26917.0,29057.0,30381.0,32098.0,51033
27321.0,27626.0,27965.0,28626.0,05015
110641.0,111872.0,117183.0,124569.0,13045
15878.0,15027.0,14466.0,15576.0,17015
19863.0,20068.0,20074.0,20535.0,18015
20764.0,20702.0,20281.0,20594.0,19027
10536.0,10871.0,10671.0,10954.0,21041
168964.0,167399.0,167699.0,175321.0,24013
10301.0,10418.0,10070.0,9686.0,28015
9816.0,9157.0,8781.0,8411.0,29033
47591.0,47623.0,48138.0,51804.0,33003
28752.0,28539.0,27332.0,26659.0,39019
28686.0,28511.0,27886.0,28641.0,47017
29137.0,29881.0,29801.0,29157.0,51035
55262.0,54634.0,54773.0,58384.0,32510
6246.0,6108.0,6009.0,5801.0,48065
27160.0,27439.0,27159.0,26341.0,21043
5894.0,6283.0,6147.0,5297.0,29035
1260.0,1205.0,1331.0,1308.0,30011
